mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[50, 100, 50]",0.0005,20,256,12.155685958149435,10.07347738419209,17.633564627121647,14.53272121130908,16.36646709998604
Calendar,1,"[50, 100, 50]",1e-05,20,512,27.4150489816858,22.985743197771356,36.55109421827534,33.97353616723156,14.306540100020356
Calendar,1,"[50, 100, 50]",5e-05,20,512,12.523974843186371,10.366147500078817,17.784566938674534,14.393413939645042,14.745655100094154
Calendar,1,"[50, 100, 50]",0.0001,20,512,12.485855533179718,10.374651915107105,17.719378936833444,14.253910466676093,14.665382700040936
Calendar,1,"[50, 100, 50]",0.0005,20,512,12.285942030929121,10.191401619217451,17.613648306757362,14.3399843141074,14.544381799991243
Calendar,1,"[50, 100, 50]",1e-05,20,1024,38.24600541751318,34.29537158692744,46.26566715622502,43.8828486043568,12.578700400074013
Calendar,1,"[50, 100, 50]",5e-05,20,1024,12.624965691953115,10.398007392554119,17.99959596691765,14.680859386372443,13.36565839999821
Calendar,1,"[50, 100, 50]",0.0001,20,1024,12.520752188236823,10.369192482806405,17.78506694806241,14.37704086703512,13.37340140005108
Calendar,1,"[50, 100, 50]",0.0005,20,1024,12.421301720386653,10.345389392324373,17.425886923739096,14.025467660964885,13.376656799926423
Calendar,1,"[50, 100, 50]",1e-05,20,2048,41.23598515707777,37.466388074458486,48.90748553496647,46.59660709345705,12.511974100023508
Calendar,1,"[50, 100, 50]",5e-05,20,2048,21.318893891667628,16.99407172448637,30.77214521629115,27.961982604504136,9.263200299930759
Calendar,1,"[50, 100, 50]",0.0001,20,2048,12.610358141201312,10.393491734999031,17.963130380409712,14.63104401885245,8.983851700089872
Calendar,1,"[50, 100, 50]",0.0005,20,2048,12.46923405556622,10.381693556848678,17.534905027419054,14.086214728024746,9.009514999925159
Calendar,1,"[100, 50, 50]",1e-05,5,256,39.40123049387022,35.53728043595997,47.29054930987812,44.946279960624395,8.061514400062151
Calendar,1,"[100, 50, 50]",5e-05,5,256,12.7310306851252,10.449781074287188,18.230340782418235,14.950740676837498,8.065292000072077
Calendar,1,"[100, 50, 50]",0.0001,5,256,12.560139471170725,10.396694729656947,17.654842187703377,14.296849974809492,8.066692500025965
Calendar,1,"[100, 50, 50]",0.0005,5,256,12.432708077103948,10.325104030149857,17.727193625557604,14.29577245775914,8.10491340002045
Calendar,1,"[100, 50, 50]",1e-05,5,512,41.36100003473237,37.59504174622259,49.0170813981056,46.70668497202473,6.019093600101769
Calendar,1,"[100, 50, 50]",5e-05,5,512,22.53818787150096,18.146644803500774,31.968057661724988,29.22325359803995,5.779372199904174
Calendar,1,"[100, 50, 50]",0.0001,5,512,12.698891890202328,10.437070681773259,18.12394955905511,14.827954035338218,6.199163500103168
Calendar,1,"[100, 50, 50]",0.0005,5,512,12.480353315137704,10.371695487730772,17.717496253619405,14.251012180602892,5.696049900026992
Calendar,1,"[100, 50, 50]",1e-05,5,1024,42.11264294092111,38.39893659733305,49.680438052268464,47.393665746343,4.861513199983165
Calendar,1,"[100, 50, 50]",5e-05,5,1024,37.111454165004986,33.11215515066005,45.26329473609505,42.867384667088906,4.839013200020418
Calendar,1,"[100, 50, 50]",0.0001,5,1024,25.587036541382627,21.111148758964077,34.85370660436805,32.20515120071326,4.975321999983862
Calendar,1,"[100, 50, 50]",0.0005,5,1024,12.5104657392208,10.394843916386218,17.56754787178056,14.143230834568016,4.90862349991221
